
MA1944.2,ETV5::DRGX,Tryptophan cluster factors, Homeo domain factors,Ets-related, Paired-related HD factors
MA1945.1,ETV5::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1945.2,ETV5::FIGLA,Tryptophan cluster factors, Basic helix-loop-helix factors (bHLH),Ets-related, Tal-related
MA1946.1,ETV5::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1946.2,ETV5::FOXI1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1947.1,ETV5::FOXO1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1947.2,ETV5::FOXO1,Tryptophan cluster factors, Fork head/winged helix factors,Ets-related, FOX
MA1948.1,ETV5::HOXA2,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA1948.2,ETV5::HOXA2,Tryptophan cluster factors, Homeo domain factors,Ets-related, HOX-related factors
MA0645.1,ETV6,Tryptophan cluster factors,Ets-related
MA0645.2,ETV6,Tryptophan cluster factors,Ets-related
MA1708.1,ETV7,Tryptophan cluster factors,Ets-related
MA1708.2,ETV7,Tryptophan cluster factors,Ets-related
MA0887.1,EVX1,Homeo domain factors,HOX
MA0887.2,EVX1,Homeo domain factors,HOX
MA0888.1,EVX2,Homeo domain factors,HOX
MA0888.2,EVX2,Homeo domain factors,HOX
MA0149.1,EWSR1-FLI1,Tryptophan cluster factors,Ets-related
MA1604.1,Ebf2,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA1604.2,Ebf2,Rel homology region (RHR) factors,Early B-Cell Factor-related factors
MA2122.1,Ebf4,Rel homology region (RHR) factors,EBF-related
MA0162.1,Egr1,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0472.1,Egr2,C2H2 zinc finger factors,Three-zinc finger Kruppel-related
MA0136.3,Elf5,Tryptophan cluster factors,Ets-related
MA0136.4,Elf5,Tryptophan cluster factors,Ets-related
MA0027.1,En1,Homeo domain factors,NK
MA0474.1,Erg,Tryptophan cluster factors,Ets-related
MA0474.3,Erg,Tryptophan cluster factors,Ets-related
MA0474.4,Erg,Tryptophan cluster factors,Ets-related
