file, cpu, mem(GBs), io(GB), vmem(M), maxvmem(M), nproc, time(s), inputfilesize(B)
MCF7_r5e8_s38_HINT.qsub.sh.o830022, 11:08:53, 60986.04196, 2377.75138, 1.079G, 2.489G, 1, 43294, 53804224115
HEPG2_r5e8_s9_HINT.qsub.sh.o829987, 10:06:15, 65653.71247, 2825.71472, 1.289G, 2.937G, 1, 38760, 54280907465
HEPG2_r1e7_s61_HINT.qsub.sh.o829973, 02:11:38, 7959.73510, 136.50194, 869.812M, 2.308G, 1, 8690, 1467755811
SKNSH_r1e6_s68_HINT.qsub.sh.o830026, 01:21:54, 3107.26412, 10.69599, 335.816M, 1.079G, 1, 5202, 191903735
K562_r1e8_s19_HINT.qsub.sh.o829994, 05:01:23, 33405.97543, 1013.03514, 1.508G, 3.463G, 1, 19615, 13801238113
HEPG2_r1e6_s9_HINT.qsub.sh.o829972, 01:19:07, 3047.70091, 10.82476, 362.742M, 1.137G, 1, 5011, 185507252
GM12878_r5e8_s14_HINT.qsub.sh.o829967, 10:29:36, 74189.69361, 3038.48910, 1.402G, 3.133G, 1, 40232, 51406544103
HEPG2_r1e8_s66_HINT.qsub.sh.o829977, 04:00:09, 23264.22531, 852.60787, 1.311G, 3.172G, 1, 15545, 12517568394
K562_r1e6_s95_HINT.qsub.sh.o829990, 01:31:15, 3952.71037, 11.07651, 353.000M, 1.143G, 1, 5786, 204628395
HEPG2_r1e6_s44_HINT.qsub.sh.o829970, 01:39:15, 3722.22089, 10.76671, 359.211M, 1.107G, 1, 6309, 185775365
MCF7_r5e7_s81_HINT.qsub.sh.o830020, 03:15:56, 14575.13487, 487.23561, 1.079G, 2.662G, 1, 12873, 6615357743
K562_r1e6_s63_HINT.qsub.sh.o829989, 01:14:01, 3073.95328, 11.04068, 353.039M, 1.103G, 1, 4723, 204565237
K562_r1e7_s6_HINT.qsub.sh.o829993, 02:18:09, 8748.23838, 150.52227, 329.465M, 2.472G, 1, 9204, 1626781097
HEPG2_r5e6_s55_HINT.qsub.sh.o829980, 01:35:03, 4575.75409, 47.00542, 679.430M, 1.833G, 1, 6287, 773200818
MCF7_r1e7_s81_HINT.qsub.sh.o830010, 01:55:07, 6112.47552, 86.48988, 795.164M, 2.027G, 1, 7714, 1505321877
GM12878_r1e8_s5_HINT.qsub.sh.o829958, 05:07:44, 31877.24621, 963.80064, 1.393G, 3.241G, 1, 20049, 12086374618
HEPG2_r1e7_s62_HINT.qsub.sh.o829974, 01:46:32, 6208.29010, 119.34907, 868.484M, 2.325G, 1, 7246, 1466770813
K562_r5e7_s35_HINT.qsub.sh.o830000, 03:16:46, 19913.22087, 719.68154, 1.445G, 3.471G, 1, 13102, 7232551266
MCF7_r5e6_s85_HINT.qsub.sh.o830016, 01:48:44, 4888.82080, 47.75576, 636.891M, 1.782G, 1, 7130, 797374474
